epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.79357,2.0044,11.8064,0.71582,4.07794,2.59745,0.99826,1,0.995,0.8011,0,0,0,0,0.77826,11.6929,0.69435,0.5344,1.1433,0.0892,0.0012,0.0012
2,12.6552,0.43713,11.7785,0.73325,0.33849,1.23964,0.99717,1,0.995,0.97021,0,0,0,0,0.29057,11.6686,0.69102,0.32888,0.61433,0.0774951,0.00249505,0.00249505
3,18.3904,0.23595,11.5994,0.69776,0.2042,1.02833,0.99683,1,0.995,0.92936,0,0,0,0,0.33857,11.6743,0.68014,0.52127,0.68641,0.065785,0.00378495,0.00378495
4,23.8473,0.24392,11.3677,0.69231,0.22418,1.01482,0.99793,1,0.995,0.94674,0,0,0,0,0.29119,11.2703,0.7396,0.4178,0.64026,0.0540697,0.00506971,0.00506971
5,29.0935,0.29371,11.1404,0.67007,0.26449,1.06058,0.99785,1,0.995,0.95668,0,0,0,0,0.3068,11.0512,0.71662,0.77741,0.62685,0.0423493,0.00634931,0.00634931
6,34.4166,0.24725,10.9172,0.64696,0.31947,1.00767,1,1,0.995,0.84445,0,0,0,0,0.46111,10.9534,0.76104,2.71774,0.85376,0.0306238,0.00762377,0.00762377
7,39.7082,0.29334,10.6406,0.63831,0.31054,1.03836,1,1,0.995,0.9053,0,0,0,0,0.33113,11.5098,0.76672,1.81616,0.6717,0.0188931,0.00889308,0.00889308
8,44.9894,0.33526,10.4124,0.61897,0.33814,1.09896,1,1,0.995,0.88832,0,0,0,0,0.48912,11.7711,0.75116,2.45625,1.17789,0.0098614,0.0098614,0.0098614
9,50.2647,0.30984,10.3658,0.60781,0.30727,1.05225,0.67602,0.95,0.90866,0.65111,0,0,0,0,0.6607,11.3995,0.69276,2.30537,1.86106,0.0098416,0.0098416,0.0098416
10,55.591,0.30621,10.1086,0.59931,0.29412,1.04883,1,0.93333,0.995,0.83094,0,0,0,0,0.58669,11.6323,0.71385,1.87144,1.46519,0.0098218,0.0098218,0.0098218
