epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.89443,2.12946,11.8163,0.71305,4.50911,2.71609,0.96668,0.96722,0.99307,0.83666,0,0,0,0,0.71902,11.7401,0.69408,0.51161,1.09689,0.0892,0.0012,0.0012
2,10.0907,0.47947,11.7877,0.71049,0.40225,1.28321,0.99839,1,0.995,0.95437,0,0,0,0,0.33544,11.7111,0.6703,0.38778,0.69482,0.0774951,0.00249505,0.00249505
3,14.4132,0.24024,11.5447,0.66259,0.20619,1.04979,0.99896,1,0.995,0.93592,0,0,0,0,0.34096,11.5671,0.65575,0.28657,0.68048,0.065785,0.00378495,0.00378495
4,18.4243,0.23715,11.3007,0.65551,0.216,1.02232,0.99524,1,0.995,0.96182,0,0,0,0,0.31328,11.2673,0.66842,0.35452,0.6389,0.0540697,0.00506971,0.00506971
5,22.4327,0.28904,10.9669,0.64077,0.25719,1.06141,0.99752,0.98333,0.99396,0.92337,0,0,0,0,0.38949,10.9233,0.7167,0.45432,0.70943,0.0423493,0.00634931,0.00634931
6,26.337,0.30239,10.8525,0.6177,0.28113,1.04295,0.99409,1,0.995,0.91922,0,0,0,0,0.40945,11.4338,0.70089,0.60932,0.77411,0.0306238,0.00762377,0.00762377
7,30.2016,0.26931,10.6967,0.61601,0.25697,1.02129,0.98247,0.96667,0.99372,0.876,0,0,0,0,0.50444,11.5701,0.69619,0.51621,0.96866,0.0188931,0.00889308,0.00889308
8,34.0623,0.31742,10.4779,0.59824,0.28906,1.08156,0.99739,1,0.995,0.93949,0,0,0,0,0.29892,11.8227,0.67827,0.73961,0.62527,0.0098614,0.0098614,0.0098614
9,37.9275,0.27426,10.3275,0.59296,0.38148,1.02595,0.97033,1,0.995,0.91009,0,0,0,0,0.40738,11.5462,0.6846,1.01569,0.76989,0.0098416,0.0098416,0.0098416
10,41.8365,0.29259,9.9893,0.57729,0.30398,1.03899,0.9923,1,0.995,0.87537,0,0,0,0,0.34834,11.6834,0.62662,1.63596,0.72926,0.0098218,0.0098218,0.0098218
