epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.54973,3.45817,11.8594,0.70425,6.38068,3.69305,0.77272,0.68333,0.76516,0.40982,0,0,0,0,1.8404,11.8093,0.69535,1.49691,2.40634,0.0892,0.0012,0.0012
2,6.89443,1.00811,11.8655,0.7034,0.81654,1.74376,0.95274,1,0.995,0.86639,0,0,0,0,0.48883,11.7742,0.68054,1.52514,0.86177,0.0774951,0.00249505,0.00249505
3,9.53144,0.34561,11.7,0.66672,0.31095,1.12729,0.99166,1,0.995,0.92046,0,0,0,0,0.44865,11.781,0.64691,0.99704,0.83709,0.065785,0.00378495,0.00378495
4,11.9251,0.32823,11.5943,0.63992,0.29301,1.08589,0.99446,1,0.995,0.92323,0,0,0,0,0.4999,11.7076,0.62173,0.48302,0.92553,0.0540697,0.00506971,0.00506971
5,14.2131,0.33366,11.3898,0.62998,0.27961,1.09583,0.99829,1,0.995,0.95797,0,0,0,0,0.37506,11.6768,0.64161,0.58438,0.77375,0.0423493,0.00634931,0.00634931
6,16.4751,0.30703,11.168,0.6233,0.2791,1.05441,0.9983,1,0.995,0.91192,0,0,0,0,0.48059,11.1339,0.66803,0.44264,0.88516,0.0306238,0.00762377,0.00762377
7,18.6444,0.30954,10.9825,0.61694,0.28628,1.05013,0.99898,1,0.995,0.80812,0,0,0,0,0.54183,11.4738,0.69121,0.54169,0.94138,0.0188931,0.00889308,0.00889308
8,20.8744,0.31535,10.8186,0.59638,0.29789,1.077,0.98166,0.98333,0.99233,0.91966,0,0,0,0,0.4396,11.7823,0.70122,0.7982,0.84538,0.0098614,0.0098614,0.0098614
9,23.0845,0.31604,10.5805,0.58863,0.29198,1.05498,0.99435,0.95,0.98596,0.82932,0,0,0,0,0.53602,11.8316,0.79636,0.87302,0.98859,0.0098416,0.0098416,0.0098416
10,25.2931,0.30537,10.2981,0.58648,0.29519,1.04535,0.9214,0.93333,0.98151,0.81733,0,0,0,0,0.5685,11.6607,0.70104,1.14709,1.03717,0.0098218,0.0098218,0.0098218
11,27.577,0.31291,10.0818,0.57693,0.28628,1.06007,0.90672,0.97207,0.98031,0.78638,0,0,0,0,0.60398,11.5809,0.64567,0.78904,1.13699,0.009802,0.009802,0.009802
