epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.11072,3.40759,11.8168,0.71386,6.62481,3.47563,0.80602,0.48479,0.66818,0.38559,0,0,0,0,1.75943,11.7147,0.69766,1.54082,2.21843,0.0892,0.0012,0.0012
2,7.9352,0.97676,11.7827,0.73408,0.83411,1.66465,0.98288,1,0.995,0.84597,0,0,0,0,0.49443,11.7692,0.68768,1.03115,0.9306,0.0774951,0.00249505,0.00249505
3,11.1404,0.32283,11.5793,0.69398,0.27468,1.11215,0.99824,1,0.995,0.93118,0,0,0,0,0.3353,11.5244,0.65364,1.00305,0.74644,0.065785,0.00378495,0.00378495
4,14.0099,0.27611,11.3911,0.65984,0.24991,1.0407,0.99897,1,0.995,0.92421,0,0,0,0,0.39928,11.3161,0.68839,0.4824,0.83772,0.0540697,0.00506971,0.00506971
5,16.6782,0.31467,10.9695,0.64075,0.26647,1.07575,0.99011,1,0.995,0.92332,0,0,0,0,0.36023,11.1053,0.70338,0.45595,0.67333,0.0423493,0.00634931,0.00634931
6,19.3671,0.28088,10.6837,0.6331,0.25981,1.03452,0.97715,1,0.99451,0.88416,0,0,0,0,0.53887,10.9338,0.76406,0.71119,0.98151,0.0306238,0.00762377,0.00762377
7,22.0147,0.27726,10.4494,0.62271,0.26163,1.01783,0.99684,1,0.995,0.94782,0,0,0,0,0.38081,11.6855,0.78955,0.57747,0.7985,0.0188931,0.00889308,0.00889308
8,24.7922,0.29559,10.3362,0.60396,0.2682,1.05183,0.99068,1,0.995,0.88619,0,0,0,0,0.4557,11.7444,0.72269,0.63456,0.82444,0.0098614,0.0098614,0.0098614
9,27.4486,0.28623,10.2183,0.59403,0.28043,1.03231,0.87763,0.96667,0.98373,0.81094,0,0,0,0,0.65704,11.876,0.74663,0.71763,1.17782,0.0098416,0.0098416,0.0098416
10,30.1157,0.27967,9.87449,0.58075,0.26822,1.02161,0.99575,1,0.995,0.91908,0,0,0,0,0.40164,11.9015,0.71373,0.97764,0.79777,0.0098218,0.0098218,0.0098218
11,32.7139,0.29087,9.65852,0.57722,0.27917,1.04004,0.87996,0.98333,0.97083,0.77701,0.00697,0.01667,0.00127,0.00025,0.70889,11.2926,0.63455,0.80694,1.39796,0.009802,0.009802,0.009802
12,35.3703,0.26748,9.37224,0.57154,0.25098,1.02371,0.99241,1,0.995,0.94414,0,0,0,0,0.43202,10.9127,0.59693,0.6584,0.86116,0.0097822,0.0097822,0.0097822
