epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.16734,1.8868,11.7718,0.71595,3.95263,2.52033,1,0.92809,0.99057,0.83118,0,0,0,0,0.69146,11.706,0.69547,0.45737,1.11881,0.0892,0.0012,0.0012
2,15.3715,0.38262,11.7182,0.73347,0.34312,1.19867,0.99911,1,0.995,0.95072,0,0,0,0,0.30219,11.7025,0.6921,0.37067,0.65855,0.0774951,0.00249505,0.00249505
3,22.8267,0.21678,11.4499,0.72634,0.19205,1.02546,0.99912,1,0.995,0.94283,0,0,0,0,0.35297,11.7509,0.69185,0.26777,0.67905,0.065785,0.00378495,0.00378495
4,29.931,0.23769,11.2561,0.7002,0.22476,1.01695,0.99858,1,0.995,0.94122,0,0,0,0,0.34287,11.187,0.66891,0.43735,0.70866,0.0540697,0.00506971,0.00506971
5,36.8239,0.27943,10.8232,0.67645,0.30433,1.04997,0.96746,0.99112,0.99434,0.90939,0,0,0,0,0.36526,10.7745,0.69815,0.67555,0.74543,0.0423493,0.00634931,0.00634931
6,43.7389,0.24239,10.6193,0.6704,0.24507,0.99954,0.96656,1,0.995,0.86884,0,0,0,0,0.38596,11.4195,0.7452,0.89434,0.71745,0.0306238,0.00762377,0.00762377
7,50.6451,0.28701,10.5656,0.65615,0.26016,1.02939,0.99913,1,0.995,0.94789,0,0,0,0,0.42093,11.5595,0.64371,0.74791,0.81052,0.0188931,0.00889308,0.00889308
8,57.5601,0.29821,10.3248,0.63317,0.32053,1.05483,0.96003,1,0.995,0.91472,0.00191,0.01667,0.0008,0.00024,0.34726,11.2326,0.68178,1.67179,0.77246,0.0098614,0.0098614,0.0098614
9,64.4391,0.29545,10.1186,0.61934,0.29084,1.03065,0.9375,1,0.96273,0.86406,0.00181,0.01667,0.00096,0.0001,0.3664,11.5355,0.67582,3.12973,0.93793,0.0098416,0.0098416,0.0098416
10,71.5429,0.25876,9.71173,0.60659,0.27606,1.00623,0.91083,1,0.98221,0.85179,0,0,0,0,0.39578,11.3842,0.70085,1.87761,1.16454,0.0098218,0.0098218,0.0098218
11,78.468,0.26859,9.63187,0.59643,0.25127,1.02544,1,1,0.995,0.93211,0,0,0,0,0.31295,11.7564,0.677,1.46837,1.0446,0.009802,0.009802,0.009802
12,85.4134,0.26153,9.35267,0.58419,0.23298,1.02432,0.97331,1,0.995,0.9031,0,0,0,0,0.29269,11.2448,0.61938,0.97532,0.75839,0.0097822,0.0097822,0.0097822
13,92.3264,0.25411,8.98944,0.58127,0.24885,0.99571,0.9296,1,0.98985,0.94741,0.03315,0.03333,0.00629,0.00104,0.29197,10.3456,0.63342,0.68816,0.61064,0.0097624,0.0097624,0.0097624
14,99.3084,0.23502,8.95894,0.57422,0.2314,0.98456,0.83464,0.86667,0.92499,0.73503,0.02055,0.01667,0.00042,8e-05,0.70431,10.4397,0.59869,1.14712,1.33687,0.0097426,0.0097426,0.0097426
15,106.198,0.24029,8.42937,0.56221,0.22471,0.98346,0.96258,1,0.98776,0.84158,0.04853,0.05,0.00444,0.00077,0.48748,8.97083,0.58855,2.79133,0.93619,0.0097228,0.0097228,0.0097228
16,113.106,0.22129,8.38911,0.55439,0.21443,0.97632,0.9815,1,0.995,0.97784,0.0654,0.06667,0.01178,0.0039,0.28579,8.45804,0.57046,0.37719,0.61813,0.009703,0.009703,0.009703
